ID,FP,BU Region,Approved,On hold,Sourcing start,Interview start,Interview end,Offered,Filled,Status
40,PT,West,2018-01-13,,2018-01-19 00:00:00,2018-02-07 00:00:00,2018-03-04 00:00:00,2018-03-09 00:00:00,2018-03-15 00:00:00,Filled
135,PT,Midwest,2018-02-11,,2018-02-19 00:00:00,2018-03-07 00:00:00,2018-03-31 00:00:00,,,Interview end
200,FT,North,2018-01-29,,2018-02-03 00:00:00,2018-02-22 00:00:00,2018-03-18 00:00:00,2018-03-26 00:00:00,,Offered
160,FT,Northwest,2018-02-26,,2018-03-05 00:00:00,2018-03-22 00:00:00,,,,Interview start
114,PT,South,2018-01-14,,2018-01-21 00:00:00,2018-02-07 00:00:00,2018-03-01 00:00:00,2018-03-06 00:00:00,2018-03-12 00:00:00,Filled
80,PT,South,2018-01-18,,2018-01-27 00:00:00,2018-02-10 00:00:00,2018-03-07 00:00:00,2018-03-15 00:00:00,2018-03-24 00:00:00,Filled
121,PT,Northwest,2018-02-25,,2018-03-04 00:00:00,2018-03-15 00:00:00,,,,Interview start
50,PT,East,2018-01-16,,2018-01-22 00:00:00,2018-02-09 00:00:00,2018-03-01 00:00:00,2018-03-07 00:00:00,2018-03-12 00:00:00,Filled
179,FT,East,2018-03-11,,2018-03-19 00:00:00,2018-03-29 00:00:00,,,,Interview start
108,PT,North,2018-02-01,,2018-02-07 00:00:00,2018-02-22 00:00:00,2018-03-22 00:00:00,2018-03-27 00:00:00,,Offered
14,FT,West,2018-01-18,,2018-01-23 00:00:00,2018-02-05 00:00:00,2018-02-25 00:00:00,2018-03-05 00:00:00,2018-03-13 00:00:00,Filled
142,FT,Midwest,2018-01-06,,2018-01-15 00:00:00,2018-01-25 00:00:00,2018-02-17 00:00:00,2018-02-26 00:00:00,2018-03-06 00:00:00,Filled
133,PT,North,2018-03-03,,2018-03-08 00:00:00,2018-03-20 00:00:00,,,,Interview start
116,PT,South,2018-01-19,,2018-01-27 00:00:00,2018-02-09 00:00:00,2018-03-02 00:00:00,2018-03-11 00:00:00,2018-03-20 00:00:00,Filled
132,PT,East,2018-02-25,,2018-03-03 00:00:00,2018-03-15 00:00:00,,,,Interview start
