ID,FP,BU Region,Approved,On hold,Sourcing start,Interview start,Interview end,Offered,Filled,Status
20,FT,Midwest,2018-08-20,,2018-08-25 00:00:00,2018-09-06 00:00:00,2018-10-02 00:00:00,2018-10-08 00:00:00,2018-10-16 00:00:00,Filled
76,PT,Northwest,2018-10-19,,2018-10-26 00:00:00,,,,,Sourcing start
130,PT,Central,2018-10-13,,2018-10-20 00:00:00,2018-10-31 00:00:00,,,,Interview start
190,FT,Northwest,2018-09-08,,2018-09-16 00:00:00,2018-09-28 00:00:00,2018-10-15 00:00:00,2018-10-20 00:00:00,2018-10-29 00:00:00,Filled
10,FT,West,2018-09-01,,2018-09-08 00:00:00,2018-09-23 00:00:00,2018-10-20 00:00:00,2018-10-27 00:00:00,,Offered
170,FT,East,2018-10-28,,,,,,,Approved
159,FT,South,2018-10-21,,2018-10-27 00:00:00,,,,,Sourcing start
97,FT,Central,2018-08-05,,2018-08-14 00:00:00,2018-09-01 00:00:00,2018-09-22 00:00:00,2018-09-27 00:00:00,2018-10-03 00:00:00,Filled
43,FT,Northwest,2018-09-06,,2018-09-13 00:00:00,2018-09-23 00:00:00,2018-10-19 00:00:00,2018-10-25 00:00:00,,Offered
113,PT,North,2018-09-24,,2018-09-30 00:00:00,2018-10-18 00:00:00,,,,Interview start
73,FT,Northwest,2018-08-18,2018-08-30 00:00:00,,,,,,On hold
60,FT,East,2018-09-05,,2018-09-12 00:00:00,2018-09-28 00:00:00,2018-10-24 00:00:00,,,Interview end
137,FT,East,2018-10-04,,2018-10-12 00:00:00,2018-10-31 00:00:00,,,,Interview start
98,FT,Northwest,2018-10-02,,2018-10-08 00:00:00,2018-10-21 00:00:00,,,,Interview start
136,PT,South,2018-09-10,,2018-09-17 00:00:00,2018-09-30 00:00:00,2018-10-19 00:00:00,2018-10-27 00:00:00,,Offered
124,FT,North,2018-10-31,,,,,,,Approved
189,PT,Midwest,2018-09-12,,2018-09-21 00:00:00,2018-10-07 00:00:00,2018-10-25 00:00:00,,,Interview end
195,FT,West,2018-06-28,2018-07-16 00:00:00,,,,,,On hold
102,FT,North,2018-09-15,,2018-09-24 00:00:00,2018-10-08 00:00:00,2018-10-25 00:00:00,,,Interview end
41,PT,East,2018-10-03,,2018-10-10 00:00:00,2018-10-29 00:00:00,,,,Interview start
13,PT,Northwest,2018-09-19,,2018-09-27 00:00:00,2018-10-11 00:00:00,2018-10-27 00:00:00,,,Interview end
92,FT,Midwest,2018-09-22,,2018-10-01 00:00:00,2018-10-14 00:00:00,,,,Interview start
84,FT,Northwest,2018-09-27,,2018-10-04 00:00:00,2018-10-16 00:00:00,,,,Interview start
18,FT,North,2018-08-18,,2018-08-26 00:00:00,2018-09-08 00:00:00,2018-10-05 00:00:00,2018-10-11 00:00:00,2018-10-17 00:00:00,Filled
117,FT,Northwest,2018-09-30,,2018-10-08 00:00:00,2018-10-22 00:00:00,,,,Interview start
79,FT,West,2018-09-12,,2018-09-18 00:00:00,2018-09-29 00:00:00,2018-10-19 00:00:00,2018-10-26 00:00:00,,Offered
1,FT,North,2018-10-01,,2018-10-06 00:00:00,2018-10-22 00:00:00,,,,Interview start
3,PT,East,2018-10-02,,2018-10-08 00:00:00,2018-10-20 00:00:00,,,,Interview start
199,FT,Central,2018-09-29,,2018-10-07 00:00:00,2018-10-23 00:00:00,,,,Interview start
68,FT,North,2018-09-25,,2018-10-03 00:00:00,2018-10-22 00:00:00,,,,Interview start
55,PT,West,2018-09-10,,2018-09-15 00:00:00,2018-10-01 00:00:00,2018-10-18 00:00:00,2018-10-26 00:00:00,,Offered
15,PT,Midwest,2018-08-11,,2018-08-20 00:00:00,2018-09-02 00:00:00,2018-09-19 00:00:00,2018-09-27 00:00:00,2018-10-04 00:00:00,Filled
