ID,FP,BU Region,Approved,On hold,Sourcing start,Interview start,Interview end,Offered,Filled,Status
139,PT,Northwest,2018-04-10,,2018-04-18 00:00:00,2018-04-28 00:00:00,2018-05-20 00:00:00,2018-05-28 00:00:00,2018-06-02 00:00:00,Filled
34,PT,Central,2018-06-29,,,,,,,Approved
12,FT,South,2018-05-15,,2018-05-20 00:00:00,2018-06-04 00:00:00,2018-06-22 00:00:00,2018-06-27 00:00:00,,Offered
157,FT,North,2018-05-12,,2018-05-20 00:00:00,2018-05-30 00:00:00,2018-06-24 00:00:00,,,Interview end
115,FT,Northwest,2018-06-06,,2018-06-14 00:00:00,,,,,Sourcing start
62,PT,South,2018-06-23,,,,,,,Approved
95,PT,Central,2018-06-15,,2018-06-22 00:00:00,,,,,Sourcing start
184,FT,Midwest,2018-06-04,,2018-06-09 00:00:00,2018-06-28 00:00:00,,,,Interview start
36,PT,Northwest,2018-05-12,,2018-05-21 00:00:00,2018-06-07 00:00:00,,,,Interview start
96,FT,West,2018-05-03,,2018-05-08 00:00:00,2018-05-19 00:00:00,2018-06-15 00:00:00,2018-06-22 00:00:00,,Offered
27,FT,North,2018-06-28,,,,,,,Approved
32,PT,Northwest,2018-05-03,,2018-05-09 00:00:00,2018-05-27 00:00:00,2018-06-24 00:00:00,,,Interview end
154,FT,Northwest,2018-04-17,,2018-04-24 00:00:00,2018-05-10 00:00:00,2018-05-28 00:00:00,2018-06-04 00:00:00,2018-06-11 00:00:00,Filled
70,PT,West,2018-04-30,,2018-05-05 00:00:00,2018-05-22 00:00:00,2018-06-20 00:00:00,2018-06-29 00:00:00,,Offered
195,FT,West,2018-06-28,,,,,,,Approved
150,PT,South,2018-06-13,,2018-06-18 00:00:00,,,,,Sourcing start
126,FT,West,2018-05-22,,2018-05-29 00:00:00,2018-06-10 00:00:00,2018-06-30 00:00:00,,,Interview end
29,FT,Midwest,2018-04-08,,2018-04-15 00:00:00,2018-04-30 00:00:00,2018-05-16 00:00:00,2018-05-25 00:00:00,2018-06-01 00:00:00,Filled
175,PT,Northwest,2018-06-05,,2018-06-14 00:00:00,,,,,Sourcing start
158,FT,Central,2018-05-23,,2018-05-31 00:00:00,2018-06-11 00:00:00,,,,Interview start
58,FT,Central,2018-06-15,,2018-06-24 00:00:00,,,,,Sourcing start
125,FT,East,2018-06-02,,2018-06-07 00:00:00,2018-06-19 00:00:00,,,,Interview start
194,FT,Midwest,2018-05-17,,2018-05-24 00:00:00,2018-06-12 00:00:00,2018-06-27 00:00:00,,,Interview end
166,PT,Midwest,2018-06-20,,2018-06-27 00:00:00,,,,,Sourcing start
89,FT,West,2018-04-27,,2018-05-05 00:00:00,2018-05-23 00:00:00,2018-06-13 00:00:00,2018-06-20 00:00:00,2018-06-28 00:00:00,Filled
83,PT,North,2018-06-28,,,,,,,Approved
104,PT,Midwest,2018-06-23,,2018-06-28 00:00:00,,,,,Sourcing start
51,PT,South,2018-05-28,,2018-06-03 00:00:00,2018-06-18 00:00:00,,,,Interview start
181,PT,Midwest,2018-05-30,,2018-06-07 00:00:00,2018-06-19 00:00:00,,,,Interview start
191,FT,West,2018-05-20,,2018-05-25 00:00:00,2018-06-04 00:00:00,2018-06-19 00:00:00,2018-06-24 00:00:00,,Offered
173,PT,North,2018-04-18,,2018-04-27 00:00:00,2018-05-13 00:00:00,2018-06-04 00:00:00,2018-06-11 00:00:00,2018-06-19 00:00:00,Filled
187,PT,East,2018-06-29,,,,,,,Approved
145,PT,Central,2018-05-09,,2018-05-16 00:00:00,2018-06-04 00:00:00,2018-06-30 00:00:00,,,Interview end
103,PT,Northwest,2018-06-10,,2018-06-19 00:00:00,2018-06-30 00:00:00,,,,Interview start
192,PT,West,2018-05-06,,2018-05-14 00:00:00,2018-05-27 00:00:00,2018-06-11 00:00:00,2018-06-20 00:00:00,2018-06-27 00:00:00,Filled
72,PT,Central,2018-04-08,,2018-04-15 00:00:00,2018-05-03 00:00:00,2018-05-23 00:00:00,2018-06-01 00:00:00,2018-06-08 00:00:00,Filled
77,FT,East,2018-04-20,,2018-04-27 00:00:00,2018-05-13 00:00:00,2018-06-06 00:00:00,2018-06-15 00:00:00,2018-06-21 00:00:00,Filled
163,FT,South,2018-04-14,,2018-04-22 00:00:00,2018-05-10 00:00:00,2018-05-28 00:00:00,2018-06-02 00:00:00,2018-06-09 00:00:00,Filled
