ID,FP,BU Region,Approved,On hold,Sourcing start,Interview start,Interview end,Offered,Filled,Status
139,PT,Northwest,2018-04-10,,2018-04-18 00:00:00,2018-04-28 00:00:00,,,,Interview start
135,PT,Midwest,2018-02-11,,2018-02-19 00:00:00,2018-03-07 00:00:00,2018-03-31 00:00:00,2018-04-09 00:00:00,2018-04-16 00:00:00,Filled
200,FT,North,2018-01-29,,2018-02-03 00:00:00,2018-02-22 00:00:00,2018-03-18 00:00:00,2018-03-26 00:00:00,2018-04-03 00:00:00,Filled
160,FT,Northwest,2018-02-26,,2018-03-05 00:00:00,2018-03-22 00:00:00,2018-04-14 00:00:00,2018-04-20 00:00:00,2018-04-28 00:00:00,Filled
61,FT,Central,2018-04-03,,2018-04-11 00:00:00,2018-04-23 00:00:00,,,,Interview start
121,PT,Northwest,2018-02-25,,2018-03-04 00:00:00,2018-03-15 00:00:00,2018-04-03 00:00:00,2018-04-11 00:00:00,2018-04-20 00:00:00,Filled
179,FT,East,2018-03-11,,2018-03-19 00:00:00,2018-03-29 00:00:00,2018-04-23 00:00:00,2018-04-28 00:00:00,,Offered
108,PT,North,2018-02-01,,2018-02-07 00:00:00,2018-02-22 00:00:00,2018-03-22 00:00:00,2018-03-27 00:00:00,2018-04-03 00:00:00,Filled
133,PT,North,2018-03-03,,2018-03-08 00:00:00,2018-03-20 00:00:00,2018-04-14 00:00:00,2018-04-20 00:00:00,2018-04-28 00:00:00,Filled
154,FT,Northwest,2018-04-17,,2018-04-24 00:00:00,,,,,Sourcing start
70,PT,West,2018-04-30,,,,,,,Approved
132,PT,East,2018-02-25,,2018-03-03 00:00:00,2018-03-15 00:00:00,2018-04-08 00:00:00,2018-04-15 00:00:00,2018-04-24 00:00:00,Filled
90,PT,Northwest,2018-04-01,,2018-04-08 00:00:00,2018-04-19 00:00:00,,,,Interview start
7,FT,North,2018-02-16,,2018-02-23 00:00:00,2018-03-05 00:00:00,2018-03-22 00:00:00,2018-03-28 00:00:00,2018-04-02 00:00:00,Filled
151,PT,South,2018-03-30,,2018-04-06 00:00:00,2018-04-23 00:00:00,,,,Interview start
48,FT,East,2018-02-23,,2018-02-28 00:00:00,2018-03-13 00:00:00,2018-03-30 00:00:00,2018-04-04 00:00:00,2018-04-09 00:00:00,Filled
164,FT,North,2018-02-20,,2018-02-28 00:00:00,2018-03-16 00:00:00,2018-04-03 00:00:00,2018-04-11 00:00:00,2018-04-17 00:00:00,Filled
29,FT,Midwest,2018-04-08,,2018-04-15 00:00:00,2018-04-30 00:00:00,,,,Interview start
155,FT,Northwest,2018-03-22,,2018-03-28 00:00:00,2018-04-13 00:00:00,,,,Interview start
180,FT,South,2018-02-26,,2018-03-03 00:00:00,2018-03-22 00:00:00,2018-04-09 00:00:00,2018-04-14 00:00:00,2018-04-22 00:00:00,Filled
37,PT,Midwest,2018-03-12,,2018-03-18 00:00:00,2018-03-31 00:00:00,2018-04-25 00:00:00,2018-04-30 00:00:00,,Offered
91,PT,Midwest,2018-02-11,,2018-02-17 00:00:00,2018-03-08 00:00:00,2018-04-05 00:00:00,2018-04-14 00:00:00,2018-04-21 00:00:00,Filled
123,FT,West,2018-02-23,,2018-03-04 00:00:00,2018-03-18 00:00:00,2018-04-04 00:00:00,2018-04-09 00:00:00,2018-04-16 00:00:00,Filled
33,PT,Northwest,2018-02-09,,2018-02-15 00:00:00,2018-03-05 00:00:00,2018-04-03 00:00:00,2018-04-11 00:00:00,2018-04-19 00:00:00,Filled
59,PT,East,2018-02-21,,2018-02-26 00:00:00,2018-03-08 00:00:00,2018-04-04 00:00:00,2018-04-11 00:00:00,2018-04-19 00:00:00,Filled
89,FT,West,2018-04-27,,,,,,,Approved
66,FT,East,2018-03-10,,2018-03-19 00:00:00,2018-04-03 00:00:00,,,,Interview start
99,PT,North,2018-04-05,,2018-04-10 00:00:00,2018-04-29 00:00:00,,,,Interview start
82,FT,Northwest,2018-03-03,,2018-03-10 00:00:00,2018-03-27 00:00:00,2018-04-22 00:00:00,2018-04-30 00:00:00,,Offered
193,FT,West,2018-03-17,,2018-03-25 00:00:00,2018-04-09 00:00:00,,,,Interview start
127,PT,Northwest,2018-03-16,,2018-03-22 00:00:00,2018-04-05 00:00:00,,,,Interview start
63,PT,East,2018-02-25,,2018-03-06 00:00:00,2018-03-16 00:00:00,2018-04-13 00:00:00,2018-04-22 00:00:00,2018-04-30 00:00:00,Filled
67,PT,North,2018-02-21,,2018-02-28 00:00:00,2018-03-15 00:00:00,2018-03-30 00:00:00,2018-04-05 00:00:00,2018-04-11 00:00:00,Filled
75,FT,Central,2018-02-12,,2018-02-17 00:00:00,2018-03-01 00:00:00,2018-03-21 00:00:00,2018-03-26 00:00:00,2018-04-01 00:00:00,Filled
53,FT,Midwest,2018-03-27,,2018-04-05 00:00:00,2018-04-22 00:00:00,,,,Interview start
17,PT,North,2018-02-11,,2018-02-20 00:00:00,2018-03-03 00:00:00,2018-03-29 00:00:00,2018-04-07 00:00:00,2018-04-13 00:00:00,Filled
23,PT,Northwest,2018-02-05,,2018-02-14 00:00:00,2018-03-02 00:00:00,2018-03-22 00:00:00,2018-03-31 00:00:00,2018-04-06 00:00:00,Filled
149,FT,Midwest,2018-03-27,,2018-04-02 00:00:00,2018-04-17 00:00:00,,,,Interview start
93,PT,South,2018-02-09,,2018-02-17 00:00:00,2018-03-05 00:00:00,2018-03-20 00:00:00,2018-03-29 00:00:00,2018-04-05 00:00:00,Filled
173,PT,North,2018-04-18,,2018-04-27 00:00:00,,,,,Sourcing start
86,PT,Central,2018-03-16,,2018-03-23 00:00:00,2018-04-04 00:00:00,2018-04-25 00:00:00,2018-04-30 00:00:00,,Offered
81,PT,Central,2018-02-04,,2018-02-13 00:00:00,2018-02-27 00:00:00,2018-03-22 00:00:00,2018-03-27 00:00:00,2018-04-03 00:00:00,Filled
6,FT,Central,2018-02-23,,2018-03-02 00:00:00,2018-03-15 00:00:00,2018-04-02 00:00:00,2018-04-07 00:00:00,2018-04-12 00:00:00,Filled
44,FT,South,2018-03-28,,2018-04-05 00:00:00,2018-04-18 00:00:00,,,,Interview start
169,PT,Northwest,2018-02-19,,2018-02-27 00:00:00,2018-03-15 00:00:00,2018-04-03 00:00:00,2018-04-11 00:00:00,2018-04-19 00:00:00,Filled
72,PT,Central,2018-04-08,,2018-04-15 00:00:00,,,,,Sourcing start
77,FT,East,2018-04-20,,2018-04-27 00:00:00,,,,,Sourcing start
118,PT,West,2018-03-09,,2018-03-18 00:00:00,2018-04-02 00:00:00,2018-04-28 00:00:00,,,Interview end
198,PT,Northwest,2018-02-14,,2018-02-22 00:00:00,2018-03-07 00:00:00,2018-03-28 00:00:00,2018-04-04 00:00:00,2018-04-13 00:00:00,Filled
163,FT,South,2018-04-14,,2018-04-22 00:00:00,,,,,Sourcing start
165,FT,Midwest,2018-02-06,,2018-02-15 00:00:00,2018-03-04 00:00:00,2018-03-26 00:00:00,2018-04-01 00:00:00,2018-04-06 00:00:00,Filled
